,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Matrix,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 1,1670,1672,1902,,-4.0455,4.7662,3.8389,1.0325,1.2262,0.7994,4.2395,2.3166,2.8291,1.8216,50.0088,,-4.0458,4.7665,3.8390,1.0320,1.2259,0.8001,4.2401,2.3170,2.8294,1.8217,50.0256,,-4.0419,4.7752,3.8334,1.0263,1.2155,0.7996,4.1782,2.3131,2.8381,1.8161,49.9382,,-4.0455,4.7662,3.8389,0.7747,1.0374,1.2379,4.1671,1.8170,2.3233,2.8129,49.7398,,-4.0458,4.7665,3.8390,0.7756,1.0369,1.2375,4.1687,1.8186,2.3233,2.8133,49.7886,,-4.0419,4.7752,3.8334,0.7798,1.0292,1.2258,4.1211,1.8556,2.3197,2.8185,50.8190,,20.9928%,11.6029%,1.4354%,0.4187%,25.2392%,9.9880%,17.5837%,0.1794%,0.2990%,0.2392%,0.0000%,0.0598%,0.0598%,11.9019%,0.0000%,,18.4543%,10.1998%,1.2618%,0.3680%,22.1872%,8.7802%,15.4574%,0.1577%,0.2629%,0.2103%,0.0000%,0.0526%,0.0526%,10.4627%,0.0000%,,351,194,24,7,422,167,294,3,5,4,0,1,1,199,0
Cluster 2,2870,2872,3083,,-11.2508,-8.9711,6.4275,1.3077,1.1207,1.1311,6.9436,2.7794,2.4633,2.5654,73.5724,,-11.2514,-8.9716,6.4284,1.3079,1.1206,1.1313,6.9452,2.7800,2.4628,2.5664,73.6014,,-11.2424,-8.9671,6.4192,1.3045,1.1197,1.1280,6.9010,2.7710,2.4674,2.5571,73.2331,,-11.2508,-8.9711,6.4275,0.9394,1.1250,1.4482,6.4111,2.1778,2.4620,3.0233,67.9018,,-11.2514,-8.9716,6.4284,0.9394,1.1248,1.4486,6.4117,2.1773,2.4625,3.0244,67.9227,,-11.2424,-8.9671,6.4192,0.9347,1.1244,1.4456,6.3639,2.1800,2.4573,3.0094,67.5270,,18.9763%,10.5501%,1.6713%,0.4178%,28.5167%,9.0181%,14.2758%,0.0348%,0.2786%,0.0696%,0.0348%,0.0348%,0.0348%,16.0864%,0.0000%,,17.6776%,9.8281%,1.5569%,0.3892%,26.5650%,8.4009%,13.2987%,0.0324%,0.2595%,0.0649%,0.0324%,0.0324%,0.0324%,14.9854%,0.0000%,,545,303,48,12,819,259,410,1,8,2,1,1,1,462,0
Cluster 3,473,473,508,,-5.9421,-4.1290,4.6494,0.7298,0.6848,0.5136,1.0750,1.5334,1.4037,1.2716,11.4647,,-5.9421,-4.1290,4.6494,0.7298,0.6848,0.5136,1.0750,1.5334,1.4037,1.2716,11.4647,,-5.9350,-4.1308,4.6558,0.7279,0.6871,0.5190,1.0872,1.5263,1.4055,1.2780,11.4842,,-5.9421,-4.1290,4.6494,0.5030,0.6474,0.7701,1.0506,1.2661,1.4660,1.6720,12.9993,,-5.9421,-4.1290,4.6494,0.5030,0.6474,0.7701,1.0506,1.2661,1.4660,1.6720,12.9993,,-5.9350,-4.1308,4.6558,0.5085,0.6485,0.7694,1.0630,1.2732,1.4681,1.6657,13.0410,,22.6216%,9.0909%,1.4799%,0.4228%,27.6956%,8.8795%,13.3192%,0.2114%,0.8457%,0.6342%,0.0000%,0.0000%,0.0000%,14.7992%,0.0000%,,21.0630%,8.4646%,1.3780%,0.3937%,25.7874%,8.2677%,12.4016%,0.1969%,0.7874%,0.5906%,0.0000%,0.0000%,0.0000%,13.7795%,0.0000%,,107,43,7,2,131,42,63,1,4,3,0,0,0,70,0
Cluster 4,1112,1112,1249,,15.1248,2.3473,6.2540,0.9084,0.9608,0.7522,2.7503,2.0215,2.1052,1.7151,30.5740,,15.1248,2.3473,6.2540,0.9084,0.9608,0.7522,2.7503,2.0215,2.1052,1.7151,30.5740,,15.1236,2.3620,6.2572,0.9119,0.9581,0.7551,2.7639,2.0432,2.0904,1.7161,30.7028,,15.1248,2.3473,6.2540,0.7393,0.8593,1.0146,2.6998,1.7435,1.9607,2.4216,34.6755,,15.1248,2.3473,6.2540,0.7393,0.8593,1.0146,2.6998,1.7435,1.9607,2.4216,34.6755,,15.1236,2.3620,6.2572,0.7383,0.8629,1.0151,2.7086,1.7752,1.9488,2.4059,34.8656,,24.8201%,12.5000%,2.0683%,0.2698%,22.2122%,10.1619%,15.2878%,0.2698%,0.1799%,0.0899%,0.0000%,0.0000%,0.0000%,12.1403%,0.0000%,,22.0977%,11.1289%,1.8415%,0.2402%,19.7758%,9.0472%,13.6109%,0.2402%,0.1601%,0.0801%,0.0000%,0.0000%,0.0000%,10.8086%,0.0000%,,276,139,23,3,247,113,170,3,2,1,0,0,0,135,0
Cluster 5,3211,3211,3648,,4.5936,8.3577,7.1197,1.3429,1.4463,1.0409,8.4686,2.9666,3.0772,2.4433,93.4286,,4.5936,8.3577,7.1197,1.3429,1.4463,1.0409,8.4686,2.9666,3.0772,2.4433,93.4286,,4.5826,8.3490,7.1225,1.3384,1.4420,1.0391,8.4003,2.9555,3.0684,2.4461,92.9235,,4.5936,8.3577,7.1197,1.0378,1.3246,1.4653,8.4375,2.4108,3.1087,3.2418,101.7676,,4.5936,8.3577,7.1197,1.0378,1.3246,1.4653,8.4375,2.4108,3.1087,3.2418,101.7676,,4.5826,8.3490,7.1225,1.0368,1.3193,1.4612,8.3715,2.4100,3.1226,3.2458,102.3151,,19.2152%,10.3395%,1.5883%,0.1869%,26.7206%,11.3049%,17.0663%,0.1869%,0.1869%,0.1246%,0.0311%,0.0000%,0.0000%,13.0489%,0.0000%,,16.9134%,9.1009%,1.3980%,0.1645%,23.5197%,9.9507%,15.0219%,0.1645%,0.1645%,0.1096%,0.0274%,0.0000%,0.0000%,11.4857%,0.0000%,,617,332,51,6,858,363,548,6,6,4,1,0,0,419,0
Cluster 6,2831,2832,3139,,9.1556,-3.2956,7.9927,1.1732,1.0483,1.1337,5.8407,2.5954,2.4325,2.4804,65.5942,,9.1557,-3.2954,7.9926,1.1730,1.0481,1.1335,5.8379,2.5954,2.4327,2.4805,65.6014,,9.1593,-3.2829,7.9882,1.1769,1.0498,1.1334,5.8658,2.5990,2.4452,2.4848,66.1465,,9.1556,-3.2956,7.9927,1.0354,1.1025,1.2138,5.8037,2.3482,2.4675,2.8600,69.4117,,9.1557,-3.2954,7.9926,1.0352,1.1023,1.2135,5.8009,2.3480,2.4674,2.8600,69.4050,,9.1593,-3.2829,7.9882,1.0395,1.1051,1.2125,5.8341,2.3180,2.4447,2.8495,67.6423,,23.5876%,11.3701%,1.7655%,0.3531%,24.3997%,9.1808%,13.9124%,0.0706%,0.2472%,0.2825%,0.0000%,0.0000%,0.0353%,14.7952%,0.0000%,,21.2807%,10.2580%,1.5929%,0.3186%,22.0134%,8.2829%,12.5518%,0.0637%,0.2230%,0.2549%,0.0000%,0.0000%,0.0319%,13.3482%,0.0000%,,668,322,50,10,691,260,394,2,7,8,0,0,1,419,0
Cluster 7,1539,1541,1744,,1.5272,-2.1945,7.2140,0.9338,0.9625,0.8609,3.2415,2.0656,2.1023,1.8398,33.4668,,1.5275,-2.1927,7.2150,0.9346,0.9633,0.8607,3.2458,2.0653,2.1041,1.8389,33.4746,,1.5179,-2.1682,7.2124,0.9370,0.9627,0.8565,3.2363,2.0749,2.1286,1.8508,34.2424,,1.5272,-2.1945,7.2140,0.8517,0.9154,0.9881,3.2270,1.8634,2.1636,2.1997,37.1483,,1.5275,-2.1927,7.2150,0.8512,0.9165,0.9888,3.2311,1.8636,2.1685,2.1982,37.2107,,1.5179,-2.1682,7.2124,0.8455,0.9180,0.9903,3.2198,1.8790,2.1792,2.1757,37.3165,,18.8189%,11.2265%,1.2330%,0.6489%,25.4380%,9.1499%,17.9104%,0.1947%,0.4543%,0.1298%,0.0000%,0.0649%,0.0649%,14.6658%,0.0000%,,16.6284%,9.9197%,1.0894%,0.5734%,22.4771%,8.0849%,15.8257%,0.1720%,0.4014%,0.1147%,0.0000%,0.0573%,0.0573%,12.9587%,0.0000%,,290,173,19,10,392,141,276,3,7,2,0,1,1,226,0
Cluster 8,361,361,396,,16.1845,-8.5001,7.7623,0.5585,0.6330,0.5061,0.7495,1.2345,1.4091,1.1653,8.4911,,16.1845,-8.5001,7.7623,0.5585,0.6330,0.5061,0.7495,1.2345,1.4091,1.1653,8.4911,,16.1867,-8.4999,7.7701,0.5545,0.6267,0.5096,0.7418,1.2367,1.4089,1.1575,8.4480,,16.1845,-8.5001,7.7623,0.4423,0.5890,0.6529,0.7124,1.0329,1.2937,1.4913,8.3469,,16.1845,-8.5001,7.7623,0.4423,0.5890,0.6529,0.7124,1.0329,1.2937,1.4913,8.3469,,16.1867,-8.4999,7.7701,0.4462,0.5875,0.6447,0.7079,1.0369,1.2939,1.4896,8.3709,,24.0997%,11.3573%,1.9391%,0.8310%,24.6537%,8.3102%,13.0194%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,15.7895%,0.0000%,,21.9697%,10.3535%,1.7677%,0.7576%,22.4747%,7.5758%,11.8687%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,14.3939%,0.0000%,,87,41,7,3,89,30,47,0,0,0,0,0,0,57,0
Cluster 9,488,488,531,,-11.9457,3.0167,7.2812,0.6756,0.7047,0.4690,0.9353,1.4927,1.6992,1.1230,11.9315,,-11.9457,3.0167,7.2812,0.6756,0.7047,0.4690,0.9353,1.4927,1.6992,1.1230,11.9315,,-11.9487,3.0279,7.2817,0.6747,0.7059,0.4692,0.9360,1.4897,1.6880,1.1226,11.8246,,-11.9457,3.0167,7.2812,0.4597,0.6744,0.7120,0.9245,1.1291,1.5244,1.6063,11.5810,,-11.9457,3.0167,7.2812,0.4597,0.6744,0.7120,0.9245,1.1291,1.5244,1.6063,11.5810,,-11.9487,3.0279,7.2817,0.4597,0.6776,0.7094,0.9255,1.1303,1.4594,1.5986,11.0465,,17.0082%,15.1639%,1.2295%,0.6148%,28.2787%,7.7869%,15.9836%,0.2049%,0.2049%,0.2049%,0.0000%,0.0000%,0.0000%,13.3197%,0.0000%,,15.6309%,13.9360%,1.1299%,0.5650%,25.9887%,7.1563%,14.6893%,0.1883%,0.1883%,0.1883%,0.0000%,0.0000%,0.0000%,12.2411%,0.0000%,,83,74,6,3,138,38,78,1,1,1,0,0,0,65,0
