,Distance (nm),Fe %,Mn %,Cr %,C %,Ni %,Al %,Cu %,NiH %,C2 %,C3 %,C4 %,Ca %,Ga %,H %,Sample Count
0,-4.9,880696.0833147104,270480,85353,32141,91196,165602.6579366776,28948,0,0,0,0,242,211,141,1555691
1,-4.8,913512.0103682228,281636,88476,33029,94206,171356.6345355557,29901,0,0,0,0,253,215,157,1613448
2,-4.8,946423.9137124215,290383,91072,33607,97102,177594.38158510538,30660,0,0,0,0,243,238,160,1668215
3,-4.7,978292.8074009352,300279,94948,34926,100530,183607.1126292338,31499,0,0,0,0,241,218,153,1725449
4,-4.6,1009575.4070165576,308679,98121,36004,103838,189474.99238113943,32162,0,0,0,0,279,248,162,1779325
5,-4.5,1040923.0748926608,318062,100591,37275,106072,195320.7664891652,32650,0,0,0,0,306,267,174,1832443
6,-4.4,1065834.0461147195,327589,103847,38577,108551,199588.55708317988,33682,0,0,0,0,314,268,159,1879234
7,-4.3,1092572.7782359812,334951,106251,39496,111298,203864.87882049527,34132,0,0,0,0,281,264,201,1924151
8,-4.2,1119634.900509808,342548,108708,40712,113720,208712.441787452,34757,0,0,0,0,279,263,200,1970394
9,-4.1,1142550.6796670759,350796,111774,40432,115955,212826.37181176897,35362,0,0,0,0,312,287,195,2011369
10,-4.0,1165306.2924765279,357914,113990,41987,117364,217290.844179132,36058,0,0,0,0,300,277,191,2051574
11,-3.9,1184531.9671408564,362695,115866,42253,118717,220589.8400007141,36489,0,0,0,0,314,277,193,2082836
12,-3.8,1203626.0765089171,368513,117641,43283,120979,224265.74185872925,36948,0,0,0,0,334,267,198,2116978
13,-3.7,1219672.1722059704,374289,119649,43196,122572,226544.28098449262,37515,0,0,0,0,302,269,213,2145156
14,-3.6,1235199.420579832,378477,120810,44505,123907,228994.91503495802,38024,0,0,0,0,329,310,218,2171721
15,-3.5,1248979.2125483088,382911,122743,44488,124250,231971.5868630772,38510,0,0,0,0,338,316,208,2195674
16,-3.4,1260622.4516491059,385901,123637,44880,125142,233594.0557197765,39469,0,0,0,0,356,302,264,2215134
17,-3.3,1266715.1073846847,387093,124726,45983,125191,234905.8703421712,39596,0,0,0,0,345,292,194,2226015
18,-3.2,1271593.126696055,388896,126030,45816,126154,236122.90235301375,40267,0,0,0,0,357,344,231,2236789
