Distance (nm),Rn % (27Da),Fe %,Mn %,Cr %,C %,Ni %,Al %,Cu %,NiH %,C2 %,C3 %,C4 %,Ca %,Ga %,H %,Sample Count
-4.949999809,120248,865188,270480,85353,32141,91196,61543,28948,0,0,0,0,242,211,141,1555691
-4.849999905,124861,897409,281636,88476,33029,94206,63305,29901,0,0,0,0,253,215,157,1613448
-4.75,129342,929743,290383,91072,33607,97102,65665,30660,0,0,0,0,243,238,160,1668215
-4.650000095,133474,961079,300279,94948,34926,100530,68102,31499,0,0,0,0,241,218,153,1725449
-4.550000191,138162,991757,308679,98121,36004,103838,69913,32162,0,0,0,0,279,248,162,1779325
-4.450000286,141796,1022636,318062,100591,37275,106072,72614,32650,0,0,0,0,306,267,174,1832443
-4.350000381,145727,1047040,327589,103847,38577,108551,73480,33682,0,0,0,0,314,268,159,1879234
-4.250000477,148369,1073438,334951,106251,39496,111298,75470,34132,0,0,0,0,281,264,201,1924151
-4.150000572,151960,1100037,342548,108708,40712,113720,77210,34757,0,0,0,0,279,263,200,1970394
-4.050000668,155370,1122513,350796,111774,40432,115955,78373,35362,0,0,0,0,312,287,195,2011369
-3.950000763,158360,1144883,357914,113990,41987,117364,80250,36058,0,0,0,0,300,277,191,2051574
-3.850000858,160893,1163782,362695,115866,42253,118717,81357,36489,0,0,0,0,314,277,193,2082836
-3.750000954,163189,1182580,368513,117641,43283,120979,83046,36948,0,0,0,0,334,267,198,2116978
-3.650001049,165198,1198367,374289,119649,43196,122572,83586,37515,0,0,0,0,302,269,213,2145156
-3.550001144,167340,1213618,378477,120810,44505,123907,84183,38024,0,0,0,0,329,310,218,2171721
-3.45000124,169556,1227112,382911,122743,44488,124250,85242,38510,0,0,0,0,338,316,208,2195674
-3.350001335,170845,1238589,385901,123637,44880,125142,85749,39469,0,0,0,0,356,302,264,2215134
-3.250001431,172176,1244510,387093,124726,45983,125191,85909,39596,0,0,0,0,345,292,194,2226015
-3.150001526,172874,1249298,388896,126030,45816,126154,86522,40267,0,0,0,0,357,344,231,2236789
-3.050001621,172883,1254525,390740,126536,46223,125622,86570,40904,0,0,0,0,340,294,217,2244854
-2.950001717,173216,1257496,392401,126635,47008,126117,86858,41658,0,0,0,0,339,323,185,2252236
-2.850001812,172918,1255256,390758,126836,46412,125812,86774,42780,0,0,0,0,301,283,191,2248321
-2.750001907,172536,1251199,390765,127220,46068,125282,86438,44376,0,0,0,0,347,294,229,2244754
-2.650002003,171785,1249537,390005,127209,46633,123793,85424,45291,0,0,0,0,323,323,203,2240526
-2.550002098,171423,1242967,387739,125832,45920,123645,85630,46182,0,0,0,0,367,317,207,2230229
-2.450002193,170657,1232690,385441,126248,46561,123094,84616,47680,0,0,0,0,337,289,225,2217838
